Running on host bp1-compute202.data.bp.acrc.priv
Started on Thu Mar  7 16:27:26 GMT 2024
Directory is /user/home/pq20206/XYZ_heisenberg
Slurm job ID is 8067689
This jobs runs on the following machines:
bp1-compute202




Ended on: Thu Mar  7 16:28:34 GMT 2024
After sweep 126: maxlinkdim=31 maxerr=8.83E-11 current_time=0.0 + 6.3im time=4.034
After sweep 127: maxlinkdim=31 maxerr=9.59E-11 current_time=0.0 + 6.35im time=4.89
After sweep 128: maxlinkdim=32 maxerr=9.82E-11 current_time=0.0 + 6.4im time=4.273
After sweep 129: maxlinkdim=32 maxerr=8.87E-11 current_time=0.0 + 6.45im time=3.98
After sweep 130: maxlinkdim=32 maxerr=9.64E-11 current_time=0.0 + 6.5im time=4.418
After sweep 131: maxlinkdim=32 maxerr=9.57E-11 current_time=0.0 + 6.55im time=4.285
After sweep 132: maxlinkdim=32 maxerr=9.77E-11 current_time=0.0 + 6.6im time=4.474
After sweep 133: maxlinkdim=32 maxerr=9.40E-11 current_time=0.0 + 6.65im time=4.577
After sweep 134: maxlinkdim=32 maxerr=9.88E-11 current_time=0.0 + 6.7im time=4.266
After sweep 135: maxlinkdim=32 maxerr=9.74E-11 current_time=0.0 + 6.75im time=4.705
After sweep 136: maxlinkdim=32 maxerr=1.06E-10 current_time=0.0 + 6.8im time=4.333
After sweep 137: maxlinkdim=32 maxerr=1.14E-10 current_time=0.0 + 6.85im time=4.541
After sweep 138: maxlinkdim=32 maxerr=1.23E-10 current_time=0.0 + 6.9im time=6.751
After sweep 139: maxlinkdim=32 maxerr=1.34E-10 current_time=0.0 + 6.95im time=6.82
After sweep 140: maxlinkdim=32 maxerr=1.44E-10 current_time=0.0 + 7.0im time=4.536
After sweep 141: maxlinkdim=32 maxerr=1.56E-10 current_time=0.0 + 7.05im time=4.19
After sweep 142: maxlinkdim=32 maxerr=1.69E-10 current_time=0.0 + 7.1im time=4.78
After sweep 143: maxlinkdim=32 maxerr=1.83E-10 current_time=0.0 + 7.15im time=4.694
After sweep 144: maxlinkdim=32 maxerr=1.98E-10 current_time=0.0 + 7.2im time=4.924
After sweep 145: maxlinkdim=32 maxerr=2.15E-10 current_time=0.0 + 7.25im time=4.822
After sweep 146: maxlinkdim=32 maxerr=2.33E-10 current_time=0.0 + 7.3im time=6.262
After sweep 147: maxlinkdim=32 maxerr=2.53E-10 current_time=0.0 + 7.35im time=6.95
After sweep 148: maxlinkdim=32 maxerr=2.75E-10 current_time=0.0 + 7.4im time=4.79
After sweep 149: maxlinkdim=32 maxerr=2.99E-10 current_time=0.0 + 7.45im time=5.615
After sweep 150: maxlinkdim=32 maxerr=3.25E-10 current_time=0.0 + 7.5im time=5.308
After sweep 151: maxlinkdim=32 maxerr=3.54E-10 current_time=0.0 + 7.55im time=4.984
After sweep 152: maxlinkdim=32 maxerr=3.86E-10 current_time=0.0 + 7.6im time=4.575
After sweep 153: maxlinkdim=32 maxerr=4.21E-10 current_time=0.0 + 7.65im time=4.345
