times,C_5,C_10,C_20,C_30,C_40,C_50
2.4499999999999993,3.130859501708507837083321563990542184780301999554501052026434548793814289373735e-39,1.584736280576338715617208877979024328924591472415950703280663912178635532039543e-38,1.584736280576338715617208877979024328924591472415950703280663912178635532039543e-38,1.584736280576338715617208877979024328924591472415950703280663912178635532039543e-38,1.584736280576338715617208877979024328924591472415950703280663912178635532039543e-38,1.584736280576338715617208877979024328924591472415950703280663912178635532039543e-38
2.499999999999999,4.50095273079097586046515831625405228145159459676397056869265322910518483724304e-38,7.009918216109659359052638092187337927829661326444816179240164062746875684995423e-38,7.009918216109659359052638092187337927829661326444816179240164062746875684995423e-38,7.009918216109659359052638092187337927829661326444816179240164062746875684995423e-38,7.009918216109659359052638092187337927829661326444816179240164062746875684995423e-38,7.009918216109659359052638092187337927829661326444816179240164062746875684995423e-38
2.549999999999999,2.274076473612254244109780243752434881948257701354737111203692386796002965483227e-38,2.678457579253256309339168511153640677213291755160325719206244642509050061796796e-38,2.678457579253256309339168511153640677213291755160325719206244642509050061796796e-38,2.678457579253256309339168511153640677213291755160325719206244642509050061796796e-38,2.678457579253256309339168511153640677213291755160325719206244642509050061796796e-38,2.678457579253256309339168511153640677213291755160325719206244642509050061796796e-38
2.5999999999999988,3.116990010028007180172593657919424581908753404613339619640317596643841469017389e-38,3.862830557145507946366707558543459810933864013691360669017411715503488320315087e-39,3.862830557145507946366707558543459810933864013691360669017411715503488320315087e-39,3.862830557145507946366707558543459810933864013691360669017411715503488320315087e-39,3.862830557145507946366707558543459810933864013691360669017411715503488320315087e-39,3.862830557145507946366707558543459810933864013691360669017411715503488320315087e-39
2.6499999999999986,2.006605591052107450562899852173199430390365198184798070857345665590755641737661e-38,1.297335710867020639035491688150686540172797405377723415881961151822169956705905e-38,1.297335710867020639035491688150686540172797405377723415881961151822169956705905e-38,1.297335710867020639035491688150686540172797405377723415881961151822169956705905e-38,1.297335710867020639035491688150686540172797405377723415881961151822169956705905e-38,1.297335710867020639035491688150686540172797405377723415881961151822169956705905e-38
2.6999999999999984,2.066298663554798997449060695073715375393568420739657245819973574209256459567035e-39,8.450300576162640500292515764804599552557761907885193509501657919899183922490155e-39,8.450300576162640500292515764804599552557761907885193509501657919899183922490155e-39,8.450300576162640500292515764804599552557761907885193509501657919899183922490155e-39,8.450300576162640500292515764804599552557761907885193509501657919899183922490155e-39,8.450300576162640500292515764804599552557761907885193509501657919899183922490155e-39
2.7499999999999982,2.233290841028996367114549421232429462350615133879309204779263082220520144892382e-38,5.346906524354921916364937295482383209979935440307917120676565150852526693564658e-39,5.346906524354921916364937295482383209979935440307917120676565150852526693564658e-39,5.346906524354921916364937295482383209979935440307917120676565150852526693564658e-39,5.346906524354921916364937295482383209979935440307917120676565150852526693564658e-39,5.346906524354921916364937295482383209979935440307917120676565150852526693564658e-39
2.799999999999998,2.147338556343631948800811184305028339303650714493211019955513508582501812633653e-38,-0.0,-0.0,-0.0,-0.0,-0.0
2.849999999999998,3.53566660208266621277534296483095452501983147456183348910302288981713534424919e-39,1.316117454314212072694432088246517478248431143687084088329257668220649394875335e-38,1.316117454314212072694432088246517478248431143687084088329257668220649394875335e-38,1.316117454314212072694432088246517478248431143687084088329257668220649394875335e-38,1.316117454314212072694432088246517478248431143687084088329257668220649394875335e-38,1.316117454314212072694432088246517478248431143687084088329257668220649394875335e-38
2.8999999999999977,1.324727032079022965741651322983307517723723962272266717091222127480882540250982e-38,4.487966617662375519267060011584469507856276823867732312056094506592892592885077e-38,4.487966617662375519267060011584469507856276823867732312056094506592892592885077e-38,4.487966617662375519267060011584469507856276823867732312056094506592892592885077e-38,4.487966617662375519267060011584469507856276823867732312056094506592892592885077e-38,4.487966617662375519267060011584469507856276823867732312056094506592892592885077e-38
